idx,rkts,abstractI,abstractT,expr
1018,614,http://purl.bdrc.io/resource/W0RKA0614,http://purl.bdrc.io/resource/W0RKT0614,http://purl.bdrc.io/resource/W4CZ5369_1018
1019,620,http://purl.bdrc.io/resource/W0RKA0620,http://purl.bdrc.io/resource/W0RKT0620,http://purl.bdrc.io/resource/W4CZ5369_1019
102,102,http://purl.bdrc.io/resource/W0RKA0102,http://purl.bdrc.io/resource/W0RKT0102,http://purl.bdrc.io/resource/W4CZ5369_0102
1020,615,http://purl.bdrc.io/resource/W0RKA0615,http://purl.bdrc.io/resource/W0RKT0615,http://purl.bdrc.io/resource/W4CZ5369_1020
1021,778,http://purl.bdrc.io/resource/W0RKA0778,http://purl.bdrc.io/resource/W0RKT0778,http://purl.bdrc.io/resource/W4CZ5369_1021
1022,779,http://purl.bdrc.io/resource/W0RKA0779,http://purl.bdrc.io/resource/W0RKT0779,http://purl.bdrc.io/resource/W4CZ5369_1022
1023,780,http://purl.bdrc.io/resource/W0RKA0780,http://purl.bdrc.io/resource/W0RKT0780,http://purl.bdrc.io/resource/W4CZ5369_1023
1024,1024,http://purl.bdrc.io/resource/W0RKA1024,http://purl.bdrc.io/resource/W0RKT1024,http://purl.bdrc.io/resource/W4CZ5369_1024
1025,781,http://purl.bdrc.io/resource/W0RKA0781,http://purl.bdrc.io/resource/W0RKT0781,http://purl.bdrc.io/resource/W4CZ5369_1025
1026,782,http://purl.bdrc.io/resource/W0RKA0782,http://purl.bdrc.io/resource/W0RKT0782,http://purl.bdrc.io/resource/W4CZ5369_1026
1027,783,http://purl.bdrc.io/resource/W0RKA0783,http://purl.bdrc.io/resource/W0RKT0783,http://purl.bdrc.io/resource/W4CZ5369_1027
1028,784,http://purl.bdrc.io/resource/W0RKA0784,http://purl.bdrc.io/resource/W0RKT0784,http://purl.bdrc.io/resource/W4CZ5369_1028
1029,787,http://purl.bdrc.io/resource/W0RKA0787,http://purl.bdrc.io/resource/W0RKT0787,http://purl.bdrc.io/resource/W4CZ5369_1029
103,103,http://purl.bdrc.io/resource/W0RKA0103,http://purl.bdrc.io/resource/W0RKT0103,http://purl.bdrc.io/resource/W4CZ5369_0103
1030,788,http://purl.bdrc.io/resource/W0RKA0788,http://purl.bdrc.io/resource/W0RKT0788,http://purl.bdrc.io/resource/W4CZ5369_1030
1031,774,http://purl.bdrc.io/resource/W0RKA0774,http://purl.bdrc.io/resource/W0RKT0774,http://purl.bdrc.io/resource/W4CZ5369_1031
1032,775,http://purl.bdrc.io/resource/W0RKA0775,http://purl.bdrc.io/resource/W0RKT0775,http://purl.bdrc.io/resource/W4CZ5369_1032
1033,785,http://purl.bdrc.io/resource/W0RKA0785,http://purl.bdrc.io/resource/W0RKT0785,http://purl.bdrc.io/resource/W4CZ5369_1033
1034,786,http://purl.bdrc.io/resource/W0RKA0786,http://purl.bdrc.io/resource/W0RKT0786,http://purl.bdrc.io/resource/W4CZ5369_1034
1035,790,http://purl.bdrc.io/resource/W0RKA0790,http://purl.bdrc.io/resource/W0RKT0790,http://purl.bdrc.io/resource/W4CZ5369_1035
1036,736,http://purl.bdrc.io/resource/W0RKA0736,http://purl.bdrc.io/resource/W0RKT0736,http://purl.bdrc.io/resource/W4CZ5369_1036
1037,1390,http://purl.bdrc.io/resource/W0RKA1390,http://purl.bdrc.io/resource/W0RKT1390,http://purl.bdrc.io/resource/W4CZ5369_1037
1038,713,http://purl.bdrc.io/resource/W0RKA0713,http://purl.bdrc.io/resource/W0RKT0713,http://purl.bdrc.io/resource/W4CZ5369_1038
1039,644,http://purl.bdrc.io/resource/W0RKA0644,http://purl.bdrc.io/resource/W0RKT0644,http://purl.bdrc.io/resource/W4CZ5369_1039
104,104,http://purl.bdrc.io/resource/W0RKA0104,http://purl.bdrc.io/resource/W0RKT0104,http://purl.bdrc.io/resource/W4CZ5369_0104
1040,645,http://purl.bdrc.io/resource/W0RKA0645,http://purl.bdrc.io/resource/W0RKT0645,http://purl.bdrc.io/resource/W4CZ5369_1040
1041,714,http://purl.bdrc.io/resource/W0RKA0714,http://purl.bdrc.io/resource/W0RKT0714,http://purl.bdrc.io/resource/W4CZ5369_1041
1042,705,http://purl.bdrc.io/resource/W0RKA0705,http://purl.bdrc.io/resource/W0RKT0705,http://purl.bdrc.io/resource/W4CZ5369_1042
1043,706,http://purl.bdrc.io/resource/W0RKA0706,http://purl.bdrc.io/resource/W0RKT0706,http://purl.bdrc.io/resource/W4CZ5369_1043
1044,707,http://purl.bdrc.io/resource/W0RKA0707,http://purl.bdrc.io/resource/W0RKT0707,http://purl.bdrc.io/resource/W4CZ5369_1044
1045,708,http://purl.bdrc.io/resource/W0RKA0708,http://purl.bdrc.io/resource/W0RKT0708,http://purl.bdrc.io/resource/W4CZ5369_1045
1046,709,http://purl.bdrc.io/resource/W0RKA0709,http://purl.bdrc.io/resource/W0RKT0709,http://purl.bdrc.io/resource/W4CZ5369_1046
1047,710,http://purl.bdrc.io/resource/W0RKA0710,http://purl.bdrc.io/resource/W0RKT0710,http://purl.bdrc.io/resource/W4CZ5369_1047
1048,711,http://purl.bdrc.io/resource/W0RKA0711,http://purl.bdrc.io/resource/W0RKT0711,http://purl.bdrc.io/resource/W4CZ5369_1048
1049,773,http://purl.bdrc.io/resource/W0RKA0773,http://purl.bdrc.io/resource/W0RKT0773,http://purl.bdrc.io/resource/W4CZ5369_1049
105,105,http://purl.bdrc.io/resource/W0RKA0105,http://purl.bdrc.io/resource/W0RKT0105,http://purl.bdrc.io/resource/W4CZ5369_0105
1050,797,http://purl.bdrc.io/resource/W0RKA0797,http://purl.bdrc.io/resource/W0RKT0797,http://purl.bdrc.io/resource/W4CZ5369_1050
1051,789,http://purl.bdrc.io/resource/W0RKA0789,http://purl.bdrc.io/resource/W0RKT0789,http://purl.bdrc.io/resource/W4CZ5369_1051
1052,621,http://purl.bdrc.io/resource/W0RKA0621,http://purl.bdrc.io/resource/W0RKT0621,http://purl.bdrc.io/resource/W4CZ5369_1052
1053,791,http://purl.bdrc.io/resource/W0RKA0791,http://purl.bdrc.io/resource/W0RKT0791,http://purl.bdrc.io/resource/W4CZ5369_1053
1054,792,http://purl.bdrc.io/resource/W0RKA0792,http://purl.bdrc.io/resource/W0RKT0792,http://purl.bdrc.io/resource/W4CZ5369_1054
1055,793,http://purl.bdrc.io/resource/W0RKA0793,http://purl.bdrc.io/resource/W0RKT0793,http://purl.bdrc.io/resource/W4CZ5369_1055
1056,794,http://purl.bdrc.io/resource/W0RKA0794,http://purl.bdrc.io/resource/W0RKT0794,http://purl.bdrc.io/resource/W4CZ5369_1056
1057,795,http://purl.bdrc.io/resource/W0RKA0795,http://purl.bdrc.io/resource/W0RKT0795,http://purl.bdrc.io/resource/W4CZ5369_1057
1058,796,http://purl.bdrc.io/resource/W0RKA0796,http://purl.bdrc.io/resource/W0RKT0796,http://purl.bdrc.io/resource/W4CZ5369_1058
1059,908,http://purl.bdrc.io/resource/W0RKA0908,http://purl.bdrc.io/resource/W0RKT0908,http://purl.bdrc.io/resource/W4CZ5369_1059
1059a,1392,http://purl.bdrc.io/resource/W0RKA1392,http://purl.bdrc.io/resource/W0RKT1392,http://purl.bdrc.io/resource/W4CZ5369_1059A
106,106,http://purl.bdrc.io/resource/W4CZ16768,http://purl.bdrc.io/resource/W0RKT0106,http://purl.bdrc.io/resource/W4CZ5369_0106
1060,777,http://purl.bdrc.io/resource/W0RKA0777,http://purl.bdrc.io/resource/W0RKT0777,http://purl.bdrc.io/resource/W4CZ5369_1060
1061,650,http://purl.bdrc.io/resource/W0RKA0650,http://purl.bdrc.io/resource/W0RKT0650,http://purl.bdrc.io/resource/W4CZ5369_1061
1062,647,http://purl.bdrc.io/resource/W0RKA0647,http://purl.bdrc.io/resource/W0RKT0647,http://purl.bdrc.io/resource/W4CZ5369_1062
1063,235,http://purl.bdrc.io/resource/W0RKA0235,http://purl.bdrc.io/resource/W0RKT0235,http://purl.bdrc.io/resource/W4CZ5369_1063
1064,234,http://purl.bdrc.io/resource/W0RKA0234,http://purl.bdrc.io/resource/W0RKT0234,http://purl.bdrc.io/resource/W4CZ5369_1064
1065,653,http://purl.bdrc.io/resource/W0RKA0653,http://purl.bdrc.io/resource/W0RKT0653,http://purl.bdrc.io/resource/W4CZ5369_1065
1066,1066,http://purl.bdrc.io/resource/W0RKA1066,http://purl.bdrc.io/resource/W0RKT1066,http://purl.bdrc.io/resource/W4CZ5369_1066
1067,1067,http://purl.bdrc.io/resource/W0RKA1067,http://purl.bdrc.io/resource/W0RKT1067,http://purl.bdrc.io/resource/W4CZ5369_1067
1068,536,http://purl.bdrc.io/resource/W0RKA0536,http://purl.bdrc.io/resource/W0RKT0536,http://purl.bdrc.io/resource/W4CZ5369_1068
1069,1069,http://purl.bdrc.io/resource/W0RKA1069,http://purl.bdrc.io/resource/W0RKT1069,http://purl.bdrc.io/resource/W4CZ5369_1069
107,107,http://purl.bdrc.io/resource/W4CZ16801,http://purl.bdrc.io/resource/W0RKT0107,http://purl.bdrc.io/resource/W4CZ5369_0107
1070,1070,http://purl.bdrc.io/resource/W0RKA1070,http://purl.bdrc.io/resource/W0RKT1070,http://purl.bdrc.io/resource/W4CZ5369_1070
1071,1071,http://purl.bdrc.io/resource/W0RKA1071,http://purl.bdrc.io/resource/W0RKT1071,http://purl.bdrc.io/resource/W4CZ5369_1071
1072,1391,http://purl.bdrc.io/resource/W0RKA1391,http://purl.bdrc.io/resource/W0RKT1391,http://purl.bdrc.io/resource/W4CZ5369_1072
1073,1073,http://purl.bdrc.io/resource/W0RKA1073,http://purl.bdrc.io/resource/W0RKT1073,http://purl.bdrc.io/resource/W4CZ5369_1073
1074,768,http://purl.bdrc.io/resource/W0RKA0768,http://purl.bdrc.io/resource/W0RKT0768,http://purl.bdrc.io/resource/W4CZ5369_1074
1075,769,http://purl.bdrc.io/resource/W0RKA0769,http://purl.bdrc.io/resource/W0RKT0769,http://purl.bdrc.io/resource/W4CZ5369_1075
1076,770,http://purl.bdrc.io/resource/W0RKA0770,http://purl.bdrc.io/resource/W0RKT0770,http://purl.bdrc.io/resource/W4CZ5369_1076
1077,643,http://purl.bdrc.io/resource/W0RKA0643,http://purl.bdrc.io/resource/W0RKT0643,http://purl.bdrc.io/resource/W4CZ5369_1077
1078,538,http://purl.bdrc.io/resource/W0RKA0538,http://purl.bdrc.io/resource/W0RKT0538,http://purl.bdrc.io/resource/W4CZ5369_1078
1079,641,http://purl.bdrc.io/resource/W0RKA0641,http://purl.bdrc.io/resource/W0RKT0641,http://purl.bdrc.io/resource/W4CZ5369_1079
108,108,http://purl.bdrc.io/resource/W0RKA0108,http://purl.bdrc.io/resource/W0RKT0108,http://purl.bdrc.io/resource/W4CZ5369_0108
1080,640,http://purl.bdrc.io/resource/W0RKA0640,http://purl.bdrc.io/resource/W0RKT0640,http://purl.bdrc.io/resource/W4CZ5369_1080
1081,642,http://purl.bdrc.io/resource/W0RKA0642,http://purl.bdrc.io/resource/W0RKT0642,http://purl.bdrc.io/resource/W4CZ5369_1081
1082,798,http://purl.bdrc.io/resource/W0RKA0798,http://purl.bdrc.io/resource/W0RKT0798,http://purl.bdrc.io/resource/W4CZ5369_1082
1083,610,http://purl.bdrc.io/resource/W0RKA0610,http://purl.bdrc.io/resource/W0RKT0610,http://purl.bdrc.io/resource/W4CZ5369_1083
1084,659,http://purl.bdrc.io/resource/W0RKA0659,http://purl.bdrc.io/resource/W0RKT0659,http://purl.bdrc.io/resource/W4CZ5369_1084
1085,662,http://purl.bdrc.io/resource/W0RKA0662,http://purl.bdrc.io/resource/W0RKT0662,http://purl.bdrc.io/resource/W4CZ5369_1085
1086,663,http://purl.bdrc.io/resource/W0RKA0663,http://purl.bdrc.io/resource/W0RKT0663,http://purl.bdrc.io/resource/W4CZ5369_1086
1087,664,http://purl.bdrc.io/resource/W0RKA0664,http://purl.bdrc.io/resource/W0RKT0664,http://purl.bdrc.io/resource/W4CZ5369_1087
1088,666,http://purl.bdrc.io/resource/W0RKA0666,http://purl.bdrc.io/resource/W0RKT0666,http://purl.bdrc.io/resource/W4CZ5369_1088
1089,667,http://purl.bdrc.io/resource/W0RKA0667,http://purl.bdrc.io/resource/W0RKT0667,http://purl.bdrc.io/resource/W4CZ5369_1089
109,109,http://purl.bdrc.io/resource/W4CZ16777,http://purl.bdrc.io/resource/W0RKT0109,http://purl.bdrc.io/resource/W4CZ5369_0109
1090,1090,http://purl.bdrc.io/resource/W0RKA1090,http://purl.bdrc.io/resource/W0RKT1090,http://purl.bdrc.io/resource/W4CZ5369_1090
1091,1091,http://purl.bdrc.io/resource/W0RKA1091,http://purl.bdrc.io/resource/W0RKT1091,http://purl.bdrc.io/resource/W4CZ5369_1091
1092,732,http://purl.bdrc.io/resource/W0RKA0732,http://purl.bdrc.io/resource/W0RKT0732,http://purl.bdrc.io/resource/W4CZ5369_1092
1093,312,http://purl.bdrc.io/resource/W0RKA0312,http://purl.bdrc.io/resource/W0RKT0312,http://purl.bdrc.io/resource/W4CZ5369_1093
1094,716,http://purl.bdrc.io/resource/W0RKA0716,http://purl.bdrc.io/resource/W0RKT0716,http://purl.bdrc.io/resource/W4CZ5369_1094
1095,1095,http://purl.bdrc.io/resource/W4CZ16796,http://purl.bdrc.io/resource/W0RTT3711,http://purl.bdrc.io/resource/W4CZ5369_1095
1096,1096,http://purl.bdrc.io/resource/W0RTA3712,http://purl.bdrc.io/resource/W0RTT3712,http://purl.bdrc.io/resource/W4CZ5369_1096
1097,1097,http://purl.bdrc.io/resource/W0RTA3730,http://purl.bdrc.io/resource/W0RTT3730,http://purl.bdrc.io/resource/W4CZ5369_1097
1098,807,http://purl.bdrc.io/resource/W0RTA3741,http://purl.bdrc.io/resource/W0RTT3741,http://purl.bdrc.io/resource/W4CZ5369_1098
1099,808,http://purl.bdrc.io/resource/W0RTA3742,http://purl.bdrc.io/resource/W0RTT3742,http://purl.bdrc.io/resource/W4CZ5369_1099
11,11,http://purl.bdrc.io/resource/W0RKA0011,http://purl.bdrc.io/resource/W0RKT0011,http://purl.bdrc.io/resource/W4CZ5369_0011
110,110,http://purl.bdrc.io/resource/W0RKA0110,http://purl.bdrc.io/resource/W0RKT0110,http://purl.bdrc.io/resource/W4CZ5369_0110
1100,813,http://purl.bdrc.io/resource/W0RKA0813,http://purl.bdrc.io/resource/W0RKT0813,http://purl.bdrc.io/resource/W4CZ5369_1100
1101,812,http://purl.bdrc.io/resource/W0RTA3734,http://purl.bdrc.io/resource/W0RTT3734,http://purl.bdrc.io/resource/W4CZ5369_1101
1102,812,http://purl.bdrc.io/resource/W0RTA3734,http://purl.bdrc.io/resource/W0RTT3734,http://purl.bdrc.io/resource/W4CZ5369_1102
